process_size,priority,arrival_time,process_type,time_of_day,burst_time
0.0002355575561523,0,1090771842859,2,0,2.0
0.0002717971801757,0,2024333776583,2,0,2.0
0.0029296875,200,2082470881415,3,0,300.0
0.0001955032348632,0,1729276668277,2,0,300.0
0.000227928161621,0,565518683389,2,0,241.0
0.0,205,0,2,0,300.0
0.0,0,801666226518,0,0,2.0
0.0,360,1654173465783,2,0,1.0
0.00592041015625,103,1450150971573,0,0,300.0
0.0001955032348632,0,352362998175,2,0,300.0
0.0069046020507812,119,525587895935,1,0,300.0
0.0026054382324218,0,2511840361269,0,0,300.0
0.0001955032348632,0,2207878740219,2,0,300.0
0.00262451171875,0,652858246316,0,0,4.0
0.000441551208496,25,113684356037,2,0,300.0
0.0,0,860019093940,0,0,2.0
0.0002317428588867,0,1794200626695,2,0,2.0
0.0078125,0,1087230030707,0,0,300.0
0.0,360,825449532347,2,0,300.0
0.0078125,119,2531110734808,1,0,300.0
0.00592041015625,103,784878151213,0,0,300.0
0.00262451171875,0,2481357818729,0,0,4.0
0.00262451171875,0,2462176511353,0,0,4.0
0.0,0,881922404718,0,0,2.0
0.000227928161621,0,1093584001151,2,0,241.0
0.0032424926757812,200,248270919329,2,0,300.0
0.0,0,796096908290,0,0,2.0
0.0,0,988699903333,0,0,2.0
0.0,200,2350051511766,3,0,300.0
0.0002717971801757,0,2327128951279,2,0,2.0
0.000227928161621,0,194009964335,2,0,241.0
0.00262451171875,0,2433219287495,0,0,4.0
0.0002717971801757,0,2073978098699,2,0,2.0
0.0056915283203125,0,1707837354107,0,0,296.0
0.0018234252929687,0,1087135578400,0,0,3.0
0.0002717971801757,0,2176169984606,2,0,2.0
0.0018234252929687,0,1279630046424,0,0,261.0
0.00262451171875,0,68341117610,0,0,23.0
0.0001955032348632,0,1044435862639,2,0,300.0
0.0,0,982309161698,0,0,2.0
0.0035820007324218,0,56361320686,0,0,300.0
0.004364013671875,103,405344770606,1,0,300.0
0.00390625,0,0,0,0,300.0
0.0,0,1053542671840,0,0,2.0
0.0018234252929687,0,1274127973870,0,0,261.0
0.0002317428588867,0,1754286721791,2,0,2.0
0.00262451171875,0,96940847483,0,0,23.0
0.00262451171875,0,1812505596565,0,0,300.0
0.0097503662109375,103,252655015812,2,0,300.0
0.0015773773193359,103,269801706846,1,0,300.0
0.027435302734375,101,2320964556455,2,0,300.0
0.0002717971801757,0,1639460317168,2,0,2.0
0.00262451171875,0,2635537128554,0,0,300.0
0.000227928161621,0,2059073960959,2,0,241.0
0.0032691955566406,0,455357061143,1,0,58.0
0.0014705657958984,117,2101506011509,1,0,130.0
0.0516357421875,103,1419613229395,1,0,300.0
0.0,205,2488299046112,2,0,300.0
0.0001955032348632,0,897435498254,2,0,300.0
0.000227928161621,0,803232580884,2,0,241.0
0.0,0,855563179238,0,0,2.0
0.0,360,1837911241870,2,0,1.0
0.000885009765625,0,335157923895,0,0,300.0
0.000227928161621,0,1462434307299,2,0,241.0
0.0020751953125,200,1447748690503,3,0,300.0
0.0001955032348632,0,592031832882,2,0,300.0
0.0,205,992710106638,2,0,300.0
0.0001955032348632,0,2071107505482,2,0,300.0
0.0,360,498427645969,2,0,72.0
0.0001955032348632,0,1872386146280,2,0,300.0
0.0035820007324218,0,2195962147789,0,0,300.0
0.0002317428588867,0,1493560842799,2,0,2.0
0.0076980590820312,103,782393689100,1,0,300.0
0.0,0,1109580819002,0,0,2.0
0.0026054382324218,0,2428245353226,0,0,3.0
0.000227928161621,0,2018989652884,2,0,241.0
0.0022125244140625,0,2597163976668,0,0,2.0
0.0024757385253906,0,999058484245,0,0,115.0
0.0012588500976562,103,939108479849,1,0,300.0
0.0,360,1118513868216,2,0,300.0
0.001718521118164,117,2459856646739,1,0,300.0
0.0001955032348632,0,1569618629408,2,0,300.0
0.0001955032348632,0,1497256547864,2,0,300.0
0.0001955032348632,0,2024190696820,2,0,300.0
0.0,0,1086076954760,0,0,2.0
0.0040359497070312,0,584387941764,0,0,3.0
0.000227928161621,0,521205468155,2,0,241.0
0.0,360,1374490301941,2,0,300.0
0.0017509460449218,117,1873289183675,1,0,300.0
0.0065078735351562,200,2032580248027,2,0,300.0
0.0,360,2071062954798,2,0,72.0
0.0002717971801757,0,2556362890368,2,0,2.0
0.0001630783081054,0,285918136616,2,0,300.0
0.0078887939453125,103,454800600585,1,0,3.0
0.0002317428588867,0,2009604312464,2,0,2.0
0.0,205,0,2,0,300.0
0.0002317428588867,0,1431215107022,2,0,2.0
0.000227928161621,0,0,2,0,241.0
0.00262451171875,200,100027954670,1,0,300.0
0.0001955032348632,0,1759747061057,2,0,300.0
0.000227928161621,0,1238772880720,2,0,241.0
0.0,0,978374792499,0,0,2.0
0.0002317428588867,0,1519148700441,2,0,2.0
0.0002717971801757,0,567961614880,2,0,2.0
0.0002317428588867,0,1474793357470,2,0,2.0
0.0002717971801757,0,190126631143,2,0,2.0
0.0,205,1752581319874,2,0,300.0
0.0,0,1088315963219,0,0,2.0
0.0,360,253571867833,2,0,300.0
0.0029716491699218,117,1700897391400,1,0,300.0
0.0026054382324218,0,1691907359214,0,0,300.0
0.00390625,0,1820046510448,0,0,1.0
0.00262451171875,0,2520731715722,0,0,3.0
0.000227928161621,0,2325787414412,2,0,241.0
0.0002717971801757,0,2562773310790,2,0,2.0
0.0018234252929687,0,1321646381571,0,0,261.0
0.0078125,119,1176042013872,1,0,300.0
0.0001955032348632,0,2027788414828,2,0,300.0
0.0014705657958984,117,1498867514756,1,0,2.0
0.0098876953125,103,2262855430901,1,0,300.0
0.000227928161621,0,102327694054,2,0,241.0
0.0010948181152343,103,1213398433469,0,0,300.0
0.013275146484375,103,2591844450072,1,0,300.0
0.000441551208496,25,31968818503,2,0,300.0
0.0,360,472480013842,2,0,300.0
0.0,360,1727558897407,2,0,300.0
0.0069046020507812,119,2758773421,1,0,300.0
0.0002107620239257,0,159546244481,2,0,1.0
0.0029678344726562,103,471886130971,0,0,300.0
0.0026054382324218,0,475982739512,0,0,16.0
0.0,0,926012124304,0,0,2.0
0.001953125,200,1779400588842,1,0,300.0
0.0015602111816406,103,219777950015,0,0,300.0
0.0052413940429687,103,1752016745052,0,0,300.0
0.000227928161621,0,1096582481337,2,0,241.0
0.0097503662109375,103,283680521336,2,0,300.0
0.000227928161621,0,85310159976,2,0,241.0
0.0,360,305680277106,2,0,300.0
0.0,360,643516724812,2,0,300.0
0.000227928161621,0,2250638604910,2,0,241.0
0.0,0,1018384242021,0,0,2.0
0.0029182434082031,0,1463787010922,0,0,300.0
0.0002317428588867,0,1633489999533,2,0,2.0
0.00262451171875,200,2248753462243,1,0,300.0
0.0,0,979193009008,0,0,2.0
0.0,360,2383010041353,2,0,72.0
0.0002317428588867,0,1452748379668,2,0,2.0
0.0065078735351562,0,0,0,0,300.0
0.0002717971801757,0,1974737806096,2,0,2.0
0.0003023147583007,0,640180069267,2,0,53.0
0.00262451171875,200,190016082495,1,0,300.0
0.0106201171875,200,166953151611,3,0,300.0
0.0002317428588867,0,1396142755924,2,0,2.0
0.0001955032348632,0,1077320506499,2,0,300.0
0.0040359497070312,0,2054131842728,0,0,4.0
0.0,360,1650360212523,2,0,300.0
0.0003023147583007,0,95950072173,2,0,53.0
0.0002355575561523,0,595766185068,2,0,2.0
0.0018234252929687,0,683354763801,0,0,133.0
0.0,205,62013905579,2,0,300.0
0.0026321411132812,0,2211148976411,0,0,300.0
0.000885009765625,0,1415474667445,0,0,300.0
0.0002317428588867,0,1361401660503,2,0,2.0
0.0,360,511256763509,2,0,300.0
0.0002717971801757,0,590783793350,2,0,2.0
0.0,200,1148252204807,3,0,19.0
0.0070343017578125,103,1467105885313,1,0,300.0
0.0,0,866343157373,0,0,2.0
0.000227928161621,0,1356481655533,2,0,241.0
0.0002355575561523,0,742017340251,2,0,2.0
0.0040359497070312,0,1967356354698,0,0,4.0
0.0018234252929687,0,743391914288,0,0,133.0
0.00262451171875,200,2140840748500,1,0,300.0
0.0002317428588867,0,1361239063413,2,0,2.0
0.0014705657958984,117,926030137255,1,0,1.0
0.000227928161621,0,1557356950148,2,0,241.0
0.00390625,0,1595653384377,0,0,300.0
